timestamp,deadTupCount,deadTupRatio
2023-07-22 16:58:59,0,0.0
2023-07-22 16:59:09,0,0.0
2023-07-22 16:59:19,0,0.0
2023-07-22 16:59:29,0,0.0
2023-07-22 16:59:39,0,0.0
2023-07-22 16:59:49,0,0.0
2023-07-22 16:59:59,0,0.0
2023-07-22 17:00:09,0,0.0
2023-07-22 17:00:19,0,0.0
2023-07-22 17:00:29,0,0.0
2023-07-22 17:00:39,0,0.0
2023-07-22 17:00:49,0,0.0
2023-07-22 17:00:59,0,0.0
2023-07-22 17:01:09,0,0.0
2023-07-22 17:01:19,0,0.0
2023-07-22 17:01:29,0,0.0
2023-07-22 17:01:39,0,0.0
2023-07-22 17:01:49,30000,2.4
2023-07-22 17:01:59,30000,2.4
2023-07-22 17:02:09,0,0.0
2023-07-22 17:02:19,0,0.0
2023-07-22 17:02:29,0,0.0
2023-07-22 17:02:39,0,0.0
2023-07-22 17:02:49,89933,6.8
2023-07-22 17:02:59,179904,12.6
2023-07-22 17:03:09,135026,9.7
2023-07-22 17:03:19,89019,6.6
2023-07-22 17:03:29,188046,12.9
2023-07-22 17:03:39,269010,17.3
2023-07-22 17:03:49,359926,21.8
2023-07-22 17:03:59,458841,26.1
2023-07-22 17:04:09,269936,17.1
2023-07-22 17:04:19,90025,6.4
2023-07-22 17:04:29,180061,11.9
2023-07-22 17:04:39,270902,16.8
2023-07-22 17:04:49,369978,21.5
2023-07-22 17:04:59,462613,25.4
2023-07-22 17:05:09,443033,24.5
2023-07-22 17:05:19,83566,5.7
2023-07-22 17:05:29,174273,11.2
2023-07-22 17:05:39,266103,16.0
2023-07-22 17:05:49,365913,20.7
2023-07-22 17:05:59,449778,24.2
2023-07-22 17:06:09,494768,25.9
2023-07-22 17:06:19,87321,5.7
2023-07-22 17:06:29,170971,10.6
2023-07-22 17:06:39,262551,15.4
2023-07-22 17:06:49,354383,19.6
2023-07-22 17:06:59,455244,23.8
2023-07-22 17:07:09,381821,20.7
2023-07-22 17:07:19,92904,5.9
2023-07-22 17:07:29,175648,10.6
2023-07-22 17:07:39,278102,15.7
