timestamp,master,checkPointer,autoVacuumLauncher,walWriter,writer,statisticsCollector,autoVacuumWorker
2023-07-22 16:58:59,1,1,1,1,1,0,0
2023-07-22 16:59:09,1,1,1,1,1,0,0
2023-07-22 16:59:19,1,1,1,1,1,0,0
2023-07-22 16:59:29,1,1,1,1,1,0,0
2023-07-22 16:59:39,1,1,1,1,1,0,0
2023-07-22 16:59:49,1,1,1,1,1,0,0
2023-07-22 16:59:59,1,1,1,1,1,0,0
2023-07-22 17:00:09,1,1,1,1,1,0,0
2023-07-22 17:00:19,1,1,1,1,1,0,0
2023-07-22 17:00:29,1,1,1,1,1,0,0
2023-07-22 17:00:39,1,1,1,1,1,0,0
2023-07-22 17:00:49,1,1,1,1,1,0,0
2023-07-22 17:00:59,1,1,1,1,1,0,0
2023-07-22 17:01:09,1,1,1,1,1,0,0
2023-07-22 17:01:19,1,1,1,1,1,0,0
2023-07-22 17:01:29,1,1,1,1,1,0,0
2023-07-22 17:01:39,1,1,1,1,1,0,0
2023-07-22 17:01:49,1,1,1,1,1,0,0
2023-07-22 17:01:59,1,1,1,1,1,0,0
2023-07-22 17:02:09,1,1,1,1,1,0,0
2023-07-22 17:02:19,1,1,1,1,1,0,0
2023-07-22 17:02:29,1,1,1,1,1,0,0
2023-07-22 17:02:39,1,1,1,1,1,0,0
2023-07-22 17:02:49,1,1,1,1,1,0,0
2023-07-22 17:02:59,1,1,1,1,1,0,0
2023-07-22 17:03:09,1,1,1,1,1,0,1
2023-07-22 17:03:19,1,1,1,1,1,0,0
2023-07-22 17:03:29,1,1,1,1,1,0,0
2023-07-22 17:03:39,1,1,1,1,1,0,0
2023-07-22 17:03:49,1,1,1,1,1,0,0
2023-07-22 17:03:59,1,1,1,1,1,0,0
2023-07-22 17:04:09,1,1,1,1,1,0,1
2023-07-22 17:04:19,1,1,1,1,1,0,0
2023-07-22 17:04:29,1,1,1,1,1,0,0
2023-07-22 17:04:39,1,1,1,1,1,0,0
2023-07-22 17:04:49,1,1,1,1,1,0,0
2023-07-22 17:04:59,1,1,1,1,1,0,0
2023-07-22 17:05:09,1,1,1,1,1,0,1
2023-07-22 17:05:19,1,1,1,1,1,0,0
2023-07-22 17:05:29,1,1,1,1,1,0,0
2023-07-22 17:05:39,1,1,1,1,1,0,0
2023-07-22 17:05:49,1,1,1,1,1,0,0
